name,samecase,ispass,bugfreeid,comments,failnum
每股现金流量大于1元,NULL,0,0,NULL,0
市盈率小于16的股票,NULL,0,0,NULL,0
2012年三季度净资产收益率大于10%,净资产收益率大于10,1,0,NULL,2
今年跌10%以上,NULL,0,0,NULL,0
今天跌停的股票,NULL,0,0,NULL,0
深圳本地股,NULL,0,0,NULL,0
前天上涨，昨天下跌,NULL,0,0,NULL,0
2012年6月以来大股东增持的股票,NULL,0,0,NULL,0
5000万以下流通盘的股票,NULL,0,0,NULL,0
 连涨天数大于4天的股票,NULL,0,0,NULL,0
创业板牛股,NULL,0,0,NULL,0
前10大股东有宋戈的,NULL,0,0,NULL,0
经营范围包括网络覆盖,NULL,0,0,NULL,0
连续三天上涨的股票,NULL,0,0,NULL,0
新能源电池,NULL,0,0,NULL,0
社保基金重仓股票,NULL,0,0,NULL,0
毛利率大于40% 汽车,NULL,0,0,NULL,0
最近2周振幅小于3%的,NULL,0,0,NULL,0
哪些股票是券商股,NULL,0,0,NULL,0
最近除权的股票,NULL,0,0,NULL,0
近3天连续上涨,NULL,0,0,NULL,0
汽车股,NULL,0,0,NULL,0
医药板块 涨幅,NULL,0,0,NULL,0
中报增500%个股,NULL,0,0,NULL,0
股价在2元以下的股票,NULL,0,0,NULL,0
换手率大于3,NULL,0,0,NULL,0
并购重组概念股,NULL,0,0,NULL,0
今年中签率超过10%的股票,NULL,0,0,NULL,0
连续3年摊薄净资产收益率大于20%,NULL,0,0,NULL,0
6月涨幅最高,NULL,0,0,NULL,0
银行股,NULL,0,0,NULL,0
2012年中报业绩预增100%以上,NULL,0,0,NULL,0
利息费用大于5000万,NULL,0,0,NULL,0
2012中报预增大于100% 股价低于15流通股本小于2亿市盈率低于100,NULL,0,0,NULL,0
2012中报预增大于100% 股价低于15流通股本小于1.5亿市盈率低于150,NULL,0,0,NULL,0
市盈率在1-15的股票,NULL,0,0,NULL,0
济南市有什么股票,NULL,0,0,NULL,0
净利润在10-100亿,NULL,0,0,NULL,0
存货净额超过10亿元的医药公司,NULL,0,0,NULL,0
半年报业绩超过100%,NULL,0,0,NULL,0
2010年高送转分红预期小盘品种,NULL,0,0,NULL,0
医药股业绩预增80以上,NULL,0,0,NULL,0
医药板块，近期（2012年至今）涨幅小于5%，大于0%,NULL,0,0,NULL,0
银行股的市盈率,NULL,0,0,NULL,0
凯士奥参股的上市公司,NULL,1,0,NULL,7
经营范围包括化学,NULL,0,0,NULL,0
连续十年净资产收益率大于20%,NULL,0,0,NULL,0
涉矿概念股,NULL,0,0,NULL,0
2012第一季度净利润增长率大于100 ,NULL,0,0,NULL,0
净利润率大于20％,NULL,0,0,NULL,0
现在哪只股价最低,NULL,0,0,NULL,0
"今年一季度收入增长30%以上,净资产收益率10%以上",NULL,0,0,NULL,0
互联网行业,NULL,0,0,NULL,0
连续2天涨幅超过2％,NULL,0,0,NULL,0
净利润增长30%,NULL,0,0,NULL,0
净利润连续三年增长30%   2012年中报预增50%以上的股票,NULL,0,0,NULL,0
3年累计分红占比超过30%,NULL,0,0,NULL,0
航天军工板块的股票,NULL,0,0,NULL,0
上海国资重组,NULL,0,0,NULL,0
总股本小于1亿的股票低价股,NULL,0,0,NULL,0
利润连续3年增长30%，总市值小于200亿，毛利率大于40，2011年净利润大于0.5亿,NULL,0,0,NULL,0
流通盘小于5000万每股净资产大于6元股价低于15元市盈率低于50,NULL,0,0,NULL,0
退市概念,NULL,0,0,NULL,0
每股净收入1元以上的股票,NULL,0,0,NULL,0
大连地区风力发电的是哪个股,NULL,0,0,NULL,0
近五年roe大于20%并且毛利率大于40%,NULL,0,0,NULL,0
2012年中报预增100％的个股,NULL,0,0,NULL,0
锂电池上市公司,NULL,0,0,NULL,0
经营现金净流量同比增长大于100%的公司,NULL,0,0,NULL,0
"roe, 次新股",NULL,0,0,NULL,0
10日均线上穿30日均线，总股本小于5亿，最新价小于5元,NULL,0,0,NULL,0
毛利率40%以上的股票,NULL,0,0,NULL,0
年报高送转预期,NULL,0,0,NULL,0
利润率大于10% 毛利率大于40% ROE大于10% 年复合增长率大于20%,NULL,0,0,NULL,0
毛利率大于60%,NULL,0,0,NULL,0
连续三年净资产收益率超过30%,NULL,0,0,NULL,0
机构持股比例合计>50%,NULL,0,0,NULL,0
全文高送转的小盘股,NULL,0,0,NULL,0
节能环保概念股,NULL,0,0,NULL,0
新一代信息技术,NULL,0,0,NULL,0
近三年roe大于20%,NULL,0,0,NULL,0
2012年中报业绩大于100%,NULL,0,0,NULL,0
每股净利润大于2元,NULL,0,0,NULL,0
市净率小于2的银行股,NULL,0,0,NULL,0
连续3年收入增速大于20%，连续3年净利润增速大于20%,NULL,0,0,NULL,0
市净率在1.1倍以下的股票,NULL,0,0,NULL,0
"连续三年净利润增长30%,净利润大于1亿",NULL,0,0,NULL,0
2012 中报预增100%以上的股票,NULL,0,0,NULL,0
强势股,NULL,0,0,NULL,0
2011年分红最多的上市公司有哪些？,NULL,0,0,NULL,0
流通a股小于1000万,NULL,0,0,NULL,0
连续三年净利润亏损40%以上,NULL,0,0,NULL,0
利润率大于20% 毛利率大于40% ROE大于10%,NULL,0,0,NULL,0
市盈率0-7，市净率0-2，净利润为正,NULL,0,0,NULL,0
市净率小于1且pe<30,NULL,0,0,NULL,0
本月以来涨幅大于20%,NULL,0,0,NULL,0
高送转的小盘股,NULL,0,0,NULL,0
医药板块 明胶,NULL,0,0,NULL,0
近期创历史新低,NULL,0,0,NULL,0
北京房地产 今年以来涨跌幅,NULL,0,0,NULL,0
2012年中报预增50%以上的股票医药,NULL,0,0,NULL,0
高送配的个股有哪些,NULL,0,0,NULL,0
昨日涨停的股票简称,NULL,0,0,NULL,0
家电企业,NULL,0,0,NULL,0
现在最便宜的股票,NULL,0,0,NULL,0
稀土 eps roe>10% 收盘价,NULL,0,0,NULL,0
预增大于500%,NULL,0,0,NULL,0
总资产最大的股票,NULL,0,0,NULL,0
那些是创投概念股,NULL,0,0,NULL,0
2012年上半年盈利预增大于100%的股票,NULL,0,0,NULL,0
总资产收益率大于7,NULL,0,0,NULL,0
尚未流通股份不大于100000股,NULL,0,0,NULL,0
连续5年 毛利率大于50% 总资产收益率大于20%  净利润率大于10%,NULL,0,0,NULL,0
15日均线向上的股票,NULL,0,0,NULL,0
毛利率大于60%一季度净利润增长率大于50%,NULL,0,0,NULL,0
日振幅大于10%,NULL,0,0,NULL,0
年初至今跌30%以上的股票有哪些,NULL,0,0,NULL,0
资金流入前10,NULL,0,0,NULL,0
市盈率大于0小于50，主营产品名称包含水泥,NULL,0,0,NULL,0
2012年7月5日上市新股,NULL,0,0,NULL,0
总股本小于1亿的股票,NULL,0,0,NULL,0
"量比大于3,换手率大于3",NULL,0,0,NULL,0
股价最低的个股,NULL,0,0,NULL,0
股东平均持股大于100000股,NULL,0,0,NULL,0
哪些是中小板股票,NULL,0,0,NULL,0
存货大于净利润的公司,NULL,0,0,NULL,0
五连阳的股票,NULL,0,0,NULL,0
连续三年营业收入(同比增长率)大于10%,NULL,0,0,NULL,0
中日韩自贸区概念,NULL,0,0,NULL,0
中报预测盈利增长2000%以上,NULL,0,0,NULL,0
新能源汽车龙头,NULL,0,0,NULL,0
PEG大于2，PB小于1,NULL,0,0,NULL,0
2012年中报大幅预增,NULL,0,0,NULL,0
汽车股中资金流入最多的股票,NULL,0,0,NULL,0
10转10股,NULL,0,0,NULL,0
医药板块,NULL,0,0,NULL,0
一季度业绩预增50%股票,NULL,0,0,NULL,0
近期创出历史新高,NULL,0,0,NULL,0
2012年中报预增100%以上的股票每股收益率0.3以上,NULL,0,0,NULL,0
超级细菌概念,NULL,0,0,NULL,0
现在有五元以下的股票是哪些,NULL,0,0,NULL,0
涉矿概念 房地产股票 市盈率,NULL,0,0,NULL,0
连续3年净利润复合增长超过60%的股票,NULL,0,0,NULL,0
山西的煤炭股,NULL,0,0,NULL,0
2012年中报业绩预增大于100%,NULL,0,0,NULL,0
连续三年净利润增长50%并且连续三年收入增长50%,NULL,0,0,NULL,0
2012年中期业绩预增,NULL,0,0,NULL,0
基金重仓股,NULL,0,0,NULL,0
年复合增长率超20%,NULL,0,0,NULL,0
市盈率最低股,NULL,0,0,NULL,0
今年涨幅最高的股票,NULL,0,0,NULL,0
2012年中期预增30%以上，且近三年roe大于20%并且毛利率大于20%,NULL,1,0,NULL,19
创历史新高股票  上市1个月以上,NULL,0,0,NULL,0
业绩预增百分百的股票,NULL,0,0,NULL,0
2012涨幅最大的股票,NULL,0,0,NULL,0
 连跌天数大于6天的股票,NULL,0,0,NULL,0
昨天涨幅最大的股票,NULL,0,0,NULL,0
高管增持的股票,NULL,0,0,NULL,0
商业股连续三年净利润率大于10%，,NULL,0,0,NULL,0
股价在3元以下的,NULL,0,0,NULL,0
st摘帽概念股,NULL,0,0,NULL,0
"连续3年业绩增长>30%,市盈率介于10到40之间",NULL,0,0,NULL,0
浙江稀土上市公司的股票,NULL,0,0,NULL,0
新三板概念,NULL,0,0,NULL,0
近半年下跌超过40%的股票,NULL,0,0,NULL,0
创新低龙头股,NULL,0,0,NULL,0
去年净利润增长大于30%,NULL,0,0,NULL,0
周KDJ线金叉和日KDJ线金叉的股票,NULL,0,0,NULL,0
派息率最高个股,NULL,0,0,NULL,0
净利润大于1亿,NULL,0,0,NULL,0
苏州上市的股票,NULL,0,0,NULL,0
连续3年净利润增长率>40%,NULL,0,0,NULL,0
哪些股票是新能源电池板块,NULL,0,0,NULL,0
3个交易日涨幅超过8%,NULL,0,0,NULL,0
传媒股龙头,NULL,0,0,NULL,0
利润增长最快的医药,NULL,0,0,NULL,0
资产总计最大的水泥股,NULL,0,0,NULL,0
"连续10年roe大于10%,连续5年分红大于3%",NULL,0,0,NULL,0
股价大于9元，小于10元，2012年中报预增100%以上的股票,NULL,0,0,NULL,0
连涨天数3天的股票,NULL,0,0,NULL,0
昨天跌停的股票,NULL,0,0,NULL,0
2011年高送转中小板龙头纺织股,NULL,0,0,NULL,0
今年涨幅前100的股票,NULL,0,0,NULL,0
涨幅超过2%,NULL,0,0,NULL,0
员工人数5万,NULL,0,0,NULL,0
水泥板块资金流入最多的股票,NULL,0,0,NULL,0
近三年roe大于20%并且毛利率大于40%,NULL,0,0,NULL,0
主营业务海鲜,NULL,0,0,NULL,0
今天换手率在3%到7%之间,NULL,0,0,NULL,0
创历史新高的股票,NULL,0,0,NULL,0
今年涨的最少的股票,NULL,0,0,NULL,0
高转送潜力股,NULL,0,0,NULL,0
医药商业业绩大幅度增长,NULL,0,0,NULL,0
总股本小于1亿股价低于10元的股票,NULL,0,0,NULL,0
节能环保产业,NULL,0,0,NULL,0
2012年中报预增大于100%的股票,NULL,0,0,NULL,0
新材料板块,NULL,0,0,NULL,0
股价小于5的股票  毛利率大于10,NULL,0,0,NULL,0
股价3元以下的个股,NULL,0,0,NULL,0
市盈率大于0且小于6,NULL,0,0,NULL,0
30日涨幅大于30,NULL,0,0,NULL,0
盘子最小的酒股,NULL,0,0,NULL,0
银行股市净率排名,NULL,0,0,NULL,0
连续三年ROE大于50%的上市公司,NULL,0,0,NULL,0
有望高送转或业绩预增个股,NULL,0,0,NULL,0
连续三年净利润大于30%，每股eps大于1元,NULL,0,0,NULL,0
一季报营业利润增幅30%以上，且营业利润2000万元以上，,NULL,0,0,NULL,0
2011年报10送10 ,NULL,0,0,NULL,0
今年以来大连大股东高管增持,NULL,0,0,NULL,0
1个月跌幅大于15%，预测2012年净利润增幅200%以上,NULL,0,0,NULL,0
连跌天数大于3天的股票,NULL,0,0,NULL,0
缩量次新股,NULL,0,0,NULL,0
超跌次新股,NULL,0,0,NULL,0
市盈率<15,NULL,0,0,NULL,0
家电资金流入前10,NULL,0,0,NULL,0
2011年收益超100%股票,NULL,0,0,NULL,0
2012年半年业绩预盈>100% 食品,NULL,0,0,NULL,0
